sampleId	ipa	exactWord	lemma	pos	frequency	preselectionScore	conceptCategory	provisionalClass
B2C-I1-1717	livʁe	livrée	livrer	VER	1.839	7	action	D
B2C-I1-1718	beniʁ	bénir	bénir	VER	1.918	6	action	D
B2C-I1-1719	bas	basse	bas	ADJ	9.462	3	fonction_ou_qualité	D
B2C-I1-1720	ʁutje	routier	routier	ADJ	1.722	1	fonction_ou_qualité	D
B2C-I1-1721	apt	apte	apte	ADJ	2.563	2	fonction_ou_qualité	D
B2C-I1-1722	vif	vif	vif	ADJ	6.503	2	fonction_ou_qualité	D
B2C-I1-1723	ʁokɛ	roquet	roquet	NOM	0.282	7	nom_concret_à_vérifier	C
B2C-I1-1724	apa	happa	happer	VER	0.003	7	action	D
B2C-I1-1725	ʒe	gé	gé	NOM	0.057	7	nom_concret_à_vérifier	C
B2C-I1-1726	ʁeglo	réglo	réglo	ADJ	5.953	2	fonction_ou_qualité	D
B2C-I1-1727	vʁije	vrillé	vriller	VER	0.054	6	action	D
B2C-I1-1728	flyɑ̃	fluent	fluent	ADJ	0.003	0	fonction_ou_qualité	D
B2C-I1-1729	fʁystʁe	frustrer	frustrer	VER	0.152	6	action	D
B2C-I1-1730	bʁijɑ̃	briant	brier	VER	0.032	6	action	D
B2C-I1-1731	kole	callée	caller	VER	0.013	7	action	D
B2C-I1-1732	dane	damner	damner	VER	0.307	6	action	D
B2C-I1-1733	aʃɛs	hs	hs	ADJ	1.69	1	fonction_ou_qualité	D
B2C-I1-1734	pʁese	pressée	pressé	ADJ	6.263	4	fonction_ou_qualité	D
B2C-I1-1735	ʁale	raller	raller	VER	0.003	6	action	D
B2C-I1-1736	ʃofe	chauffer	chauffer	VER	6.614	7	action	D
B2C-I1-1737	nɥiʁ	nuire	nuire	VER	6.241	7	action	D
B2C-I1-1738	sjɛ̃	sien	sien	PRO	12.905	5	fonction_ou_qualité	D
B2C-I1-1739	ɛnø	haineux	haineux	ADJ	1.794	1	fonction_ou_qualité	D
B2C-I1-1740	diʁɛkt	direct	direct	ADJ	18.149	2	fonction_ou_qualité	D
B2C-I1-1741	ymid	humide	humide	ADJ	7.101	2	fonction_ou_qualité	D
B2C-I1-1742	nymɑ̃	nûment	nûment	ADV	0.003	0	fonction_ou_qualité	D
B2C-I1-1743	maska	masqua	masquer	VER	0.003	5	action	D
B2C-I1-1744	bʁwa	broie	broyer	VER	0.563	5	action	D
B2C-I1-1745	sypɛʁb	superbe	superbe	ADJ	36.614	3	fonction_ou_qualité	D
B2C-I1-1746	oʁik	aurique	aurique	ADJ	0.022	0	fonction_ou_qualité	D
B2C-I1-1747	sɛɲɑ̃	ceignant	ceindre	VER	0.006	6	action	D
B2C-I1-1748	sɛptik	septique	septique	ADJ	1.041	2	fonction_ou_qualité	D
B2C-I1-1749	bala	ballas	baller	VER	0.028	5	action	D
B2C-I1-1750	fɔ̃da	fonda	fonder	VER	0.123	5	action	D
B2C-I1-1751	bytɑ̃	buttant	butter	VER	0.003	6	action	D
B2C-I1-1752	ʁadɛ̃	radin	radin	ADJ	1.975	1	fonction_ou_qualité	D
B2C-I1-1753	mwazi	moisi	moisi	NOM	0.579	7	nom_concret_à_vérifier	C
B2C-I1-1754	odjo	audio	audio	ADJ	3.468	3	fonction_ou_qualité	D
B2C-I1-1755	mɛ̃s	mince	mince	ONO	23.794	3	fonction_ou_qualité	D
B2C-I1-1756	vɛ̃sibl	vincible	vincible	NOM	0.016	7	nom_concret_à_vérifier	C
B2C-I1-1757	plɑ̃ta	planta	planter	VER	0.108	5	action	D
B2C-I1-1758	ʁak	rac	rac	ADJ	0.009	1	fonction_ou_qualité	D
B2C-I1-1759	fyʁaks	furax	furax	ADJ	3.506	2	fonction_ou_qualité	D
