goldId	partition	exactWord	ipa	stratum	category	baseline	riskProxy	alternatives
DSG-D-001	development	convers	kɔ̃vɛʁ	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-002	development	malsain	malsɛ̃	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-003	development	obscur	ɔpskyʁ	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-004	development	suisse	sɥis	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-005	development	grossesse	gʁosɛs	abstract_relation	abstrait	D	high	
DSG-D-006	development	tannique	tanik	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-007	development	nu	ny	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-008	development	essence	esɑ̃s	abstract_relation	abstrait	D	high	
DSG-D-009	development	navale	naval	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-010	development	tout	tu	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-011	development	portion	pɔʁsjɔ̃	abstract_relation	abstrait	D	high	
DSG-D-012	development	fréquent	fʁekɑ̃	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-013	development	perso	pɛʁso	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-014	development	comment	komɑ̃	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-015	development	tranquille	tʁɑ̃kil	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-016	development	zut	zyt	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-017	development	chut	ʃyt	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-018	development	seules	sœl	abstract_relation	fonction_ou_qualité	D	high	
DSG-D-019	development	donneur	donœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-D-020	development	compteur	kɔ̃tœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-D-021	development	danseur	dɑ̃sœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-D-022	development	secteur	sektœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-D-023	development	maintien	mɛ̃tjɛ̃	roles_people	personne_rôle_candidat	D	high	
DSG-D-024	development	millier	milje	roles_people	personne_rôle_candidat	D	high	
DSG-D-025	development	broyeur	bʁwajœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-D-026	development	facteur	faktœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-D-027	development	chaleur	ʃalœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-D-028	development	sorcier	sɔʁsje	roles_people	personne_rôle_candidat	D	high	
DSG-D-029	development	coiffeur	kwafœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-D-030	development	collier	kolje	roles_people	personne_rôle_candidat	D	high	
DSG-D-031	development	bonheur	bonœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-D-032	development	tanière	tanjɛʁ	roles_people	personne_rôle_candidat	D	high	
DSG-D-033	development	menteur	mɑ̃tœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-D-034	development	veiller	veje	events_actions	action	D	high	
DSG-D-035	development	tintent	tɛ̃t	events_actions	action	D	high	
DSG-D-036	development	noyer	nwaje	events_actions	action	D	high	
DSG-D-037	development	ouvrit	uvʁi	events_actions	action	D	high	
DSG-D-038	development	racher	ʁaʃe	events_actions	action	D	high	
DSG-D-039	development	émettre	emɛtʁ	events_actions	action	D	high	
DSG-D-040	development	défie	defi	events_actions	action	D	high	
DSG-D-041	development	chanter	ʃɑ̃te	events_actions	action	C	medium	
DSG-D-042	development	prendre	pʁɑ̃dʁ	events_actions	action	C	medium	
DSG-D-043	development	troublé	tʁuble	events_actions	action	D	high	
DSG-D-044	development	vexé	vɛkse	events_actions	action	D	high	
DSG-D-045	development	assisse	asis	events_actions	action	D	high	
DSG-D-046	development	merdiez	mɛʁdje	events_actions	action	D	high	
DSG-D-047	development	botter	bote	events_actions	action	D	high	
DSG-D-048	development	vivre	vivʁ	events_actions	action	C	medium	
DSG-D-049	development	chercher	ʃɛʁʃe	events_actions	action	C	medium	
DSG-D-050	development	mena	məna	events_actions	action	D	high	
DSG-D-051	development	élie	eli	events_actions	action	D	high	
DSG-D-052	development	manuel	manɥɛl	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-D-053	development	relaie	ʁəlɛ	polysemy_homographs	action	D	high	
DSG-D-054	development	terni	tɛʁni	polysemy_homographs	action	D	high	
DSG-D-055	development	venger	vɑ̃ʒe	polysemy_homographs	action	C	medium	
DSG-D-056	development	foin	fwɛ̃	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-D-057	development	azote	azɔt	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-D-058	development	louer	lwe	polysemy_homographs	action	C	high	
DSG-D-059	development	index	ɛ̃dɛks	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-D-060	development	emmes	ɛm	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-D-061	development	tore	tɔʁ	polysemy_homographs	nom_concret_à_vérifier	B	medium	
DSG-D-062	development	choc	ʃɔk	polysemy_homographs	nom_concret_à_vérifier	B	low	
DSG-D-063	development	mens	mɑ̃	polysemy_homographs	action	C	medium	
DSG-D-064	development	pari	paʁi	polysemy_homographs	nom_concret_à_vérifier	C	high	jeu|jetons|argent
DSG-D-065	development	bulle	byl	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-D-066	development	aide	ɛd	polysemy_homographs	nom_concret_à_vérifier	B	low	
DSG-D-067	development	pine	pin	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-D-068	development	bet	bɛt	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-D-069	development	sceptique	sɛptik	polysemy_homographs	fonction_ou_qualité	D	high	
DSG-D-070	development	muscler	myskle	polysemy_homographs	action	D	high	
DSG-D-071	development	fasce	fas	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-D-072	development	rejouer	ʁəʒwe	low_frequency	action	D	high	
